"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"UHRF2","grey","grey",0.0942936593395912,-0.0108454554539615,0.0665301859440277,0.0153766798640581,0.0651164461768705,-0.0297532313098666
"GLDC","grey","grey",0.0912409536814926,-0.0527074962332914,0.00089939713087576,-0.0496232512485556,0.0684917856130866,0.0406135375910508
"KDM4C","blue","blue",0.487457932455606,-0.31688952962667,0.217413594395033,-0.144778672087589,0.214616716754401,-0.00135164958007721
"DMAC1","turquoise","turquoise",-0.0586934717903862,0.108689910484439,0.0239153418346726,0.0211248936726661,0.0318378633545408,0.0653482027197046
"PTPRD","brown","brown",0.38126925002949,-0.272016331914405,0.126657813065329,-0.14875647636124,0.372540473712215,0.00139148469608206
"LURAP1L-AS1","brown","brown",0.0333824957108414,-0.061859949869186,-0.0398175090706854,-0.0907954046332477,0.274786687391164,0.047410713790874
"LURAP1L","grey","grey",0.162816034686081,-0.0731714849742902,0.0810868331985321,-0.0350771171100644,0.0743176344172981,0.0103394542009202
"MPDZ","grey","grey",0.243764529901789,-0.111466589567413,0.121717750120629,-0.0439607226841318,0.114443089211882,0.0148675386831158
"NFIB","brown","brown",0.125273846696891,-0.111087472305308,0.0523757301613697,-0.114227590460209,0.235745600147181,0.039340903531725
"AL136366.1","grey","grey",0.0452760880325778,-0.0489106604558841,0.0222913638031802,-0.040260978702851,0.0713296067133619,-0.0449416605182348
"ZDHHC21","grey","grey",0.148220838454983,-0.0122496550294627,0.138019438685861,0.0600035571449331,0.0426841583034257,0.0342949493839155
"FREM1","grey","grey",0.270802777099759,-0.138572075649748,0.107904316933708,-0.0340562540477098,0.0197127300185651,0.00762377593392936
"TTC39B","yellow","yellow",0.0397895580168894,0.0747430249120929,0.0780371824567682,0.0810752756327989,-0.0334765781647091,-0.219729790970698
"SNAPC3","grey","grey",0.0344206110604082,0.0489355750987139,0.034769501716959,0.0731518107662319,0.0547949057416462,0.0091621280376211
"PSIP1","turquoise","turquoise",-0.118453232888947,0.262139242616204,0.0115543913471677,0.185839108811007,-0.0335550403148059,0.0305835202581679
"CCDC171","blue","blue",0.366339534711247,-0.213045501602823,0.163936435454027,-0.0895600690819889,0.087188553171441,0.0164089346316497
"BNC2","blue","blue",0.381593599305175,-0.219083347423607,0.215881227297874,-0.0713776840839056,0.042413187969097,-0.000532337642181144
"CNTLN","blue","blue",0.300120242916634,-0.157072001885701,0.199521560904613,-0.0652378809561112,0.071115357477905,-0.00414514253296702
"SH3GL2","grey","grey",0.0341228870277203,0.102475256555457,0.0515758801091661,0.0727063605178539,-0.0103700792998096,0.0287912310318288
"RRAGA","turquoise","turquoise",-0.25557994364168,0.348148645374273,-0.0348729030235213,0.170376143798075,-0.0590781676274167,0.0282707805889195
"HAUS6","grey","grey",0.0765348256952749,-0.043167957563483,0.0790972224518315,-0.0233380846366151,0.0257583097963008,0.0139956030172578
"PLIN2","grey","grey",0.0248283980362343,-0.0237932782625646,0.0258786161350094,-0.0272255143343132,-0.00222305485469816,-0.0100600668256377
"DENND4C","blue","blue",0.396426543252569,-0.278093046967505,0.19381251571379,-0.153758259008224,0.136764239666219,-0.00211241985784476
"RPS6","grey","grey",-0.0670961957104853,0.10980658925854,0.0547802422636685,-0.0109694571045737,0.0603751873387973,0.0449128912436803
