"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Protein Catabolic Process (GO:0030163)","3/102",0.0145721785315227,0.0912904125651276,0,0,6.18587941268354,26.1578642224501,"HSPA8;HSP90AA1;FBXO2","GO_Biological_Process_2023","blue"
"Synaptic Vesicle Cycle (GO:0099504)","2/37",0.0147110875878219,0.0916216858539785,0,0,11.5830903790087,48.8708399253876,"SNAP25;SLC18A2","GO_Biological_Process_2023","blue"
"Regulation Of Neurotransmitter Secretion (GO:0046928)","2/38",0.0154783132235365,0.0931255376224334,0,0,11.2607709750567,46.9384448645158,"PREPL;SYT11","GO_Biological_Process_2023","blue"
"Positive Regulation Of Cation Channel Activity (GO:2001259)","2/38",0.0154783132235365,0.0931255376224334,0,0,11.2607709750567,46.9384448645158,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Signal Release From Synapse (GO:0099643)","2/38",0.0154783132235365,0.0931255376224334,0,0,11.2607709750567,46.9384448645158,"SNAP25;STXBP1","GO_Biological_Process_2023","blue"
"Establishment Of Protein Localization To Plasma Membrane (GO:0061951)","2/38",0.0154783132235365,0.0931255376224334,0,0,11.2607709750567,46.9384448645158,"NSF;PREPL","GO_Biological_Process_2023","blue"
"Lysosomal Transport (GO:0007041)","3/105",0.0157404409875109,0.0931255376224334,0,0,6.00303214069133,24.9217201151844,"PINK1;PSAP;VPS35","GO_Biological_Process_2023","blue"
"Neuron Projection Development (GO:0031175)","4/192",0.0157977826439019,0.0931255376224334,0,0,4.36879432624113,18.121259458719,"UBB;MAP1B;STMN2;NEFH","GO_Biological_Process_2023","blue"
"Protein Localization To Membrane (GO:0072657)","4/192",0.0157977826439019,0.0931255376224334,0,0,4.36879432624113,18.121259458719,"STXBP1;CPE;THY1;ATP1B1","GO_Biological_Process_2023","blue"
"Response To Calcium Ion (GO:0051592)","3/106",0.0161412670571554,0.0931255376224334,0,0,5.9444500050045,24.5290365178238,"SYT11;CALM3;CALM1","GO_Biological_Process_2023","blue"
"Negative Regulation Of Mitochondrion Organization (GO:0010823)","2/39",0.0162624064321538,0.0931255376224334,0,0,10.9558742415885,45.1261415257865,"PINK1;GHITM","GO_Biological_Process_2023","blue"
"Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)","2/39",0.0162624064321538,0.0931255376224334,0,0,10.9558742415885,45.1261415257865,"HSP90AA1;HSP90AB1","GO_Biological_Process_2023","blue"
"Regulation Of Protein Tyrosine Kinase Activity (GO:0061097)","2/39",0.0162624064321538,0.0931255376224334,0,0,10.9558742415885,45.1261415257865,"PRNP;THY1","GO_Biological_Process_2023","blue"
"Retina Homeostasis (GO:0001895)","2/39",0.0162624064321538,0.0931255376224334,0,0,10.9558742415885,45.1261415257865,"ACTG1;SOD1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)","2/39",0.0162624064321538,0.0931255376224334,0,0,10.9558742415885,45.1261415257865,"UBB;SOD1","GO_Biological_Process_2023","blue"
