"gene_name","module","color","kME_red","kME_brown","kME_blue","kME_grey","kME_yellow","kME_black","kME_turquoise","kME_pink","kME_green","kME_magenta"
"Arfgef1","grey","grey",0.0280381282648838,0.0177028058703228,0.00401534286360742,0.151864444415716,-0.0543289795949137,0.0672375303877182,0.106256863906735,-0.0431432585727219,0.126460601677186,-0.0313240196958927
"Cpa6","grey","grey",0.00288102332706843,0.0285401849681028,-0.00977913294738584,0.0616774836995808,-0.0278530611640723,0.0114181047161465,0.0309627122409325,-0.000481873489209201,0.0500987412280412,0.0101374276163696
"Prex2","turquoise","turquoise",-0.227780231869899,-0.466542823857794,0.00431195589240466,0.325564484124828,-0.239750876683627,0.365159077099383,0.685299656787587,-0.610680147220797,0.201635938122204,-0.367778026774706
"A830018L16Rik","turquoise","turquoise",-0.228510446162467,-0.583247259093847,0.0160246409516154,0.372060806125114,-0.323008541174155,0.419159036510255,0.84503335317628,-0.77770673921364,0.255566452258279,-0.439674927562646
"Sulf1","red","red",0.404949575775837,-0.0411780950783243,0.00296451841932146,0.0600331435162542,-0.091751954831155,-0.0068497745730558,0.0412537268571161,-0.116660324001738,0.0883747919747813,0.108889286365471
"Slco5a1","grey","grey",0.0545056579373831,0.0268613176273028,-0.0511416388761071,0.0377799737037547,-0.0160671377699932,0.000933110230102046,0.0145136973273939,0.00564251107320248,0.0413021972209549,0.0220162651659119
"Ncoa2","grey","grey",0.0701150230977084,-0.00164173564052674,-0.0393668159111363,0.231689146023421,-0.0939075459692559,0.111648765201163,0.188447989557892,-0.107760048324743,0.19284909406871,-0.0128617906590683
"Tram1","turquoise","turquoise",-0.0321417501609511,-0.121124094529732,0.0031598690744041,0.124205997465173,-0.0539809220703432,0.118027149852233,0.201192845815889,-0.164736861467082,0.082734309138391,-0.0722369834449332
"Lactb2","pink","pink",-0.0676201334025981,0.203684239170794,-0.0396145651261607,-0.0592208552582856,0.1952059831268,-0.0331594863687853,-0.240907984947497,0.299516892316216,-0.0689817035416177,0.0471259727240432
"Kcnb2","brown","brown",0.415474871753657,0.5573946561765,0.00710664922186217,0.137424217975245,-0.139325100341885,-0.356881635465422,-0.342529570621359,0.418365727762674,0.262523568136269,0.444136775203618
"Terf1","red","red",0.198199100647071,0.122587412528844,-0.00568833684481227,0.0769593810466794,-0.0878016582605768,-0.0767966257874788,-0.0384977909092567,0.0482141147234975,0.113020202843903,0.138545293224194
"Sbspon","grey","grey",0.048016220365826,0.0225422787908602,-0.00614181269747677,0.037189341577248,-0.0109129080268449,0.00556538620250347,0.00829242517662881,0.00706958463261891,0.0276665724186678,0.0463840901662919
"4930444P10Rik","turquoise","turquoise",-0.046317033604208,-0.127535924346188,-0.0151879299775768,0.139713122197801,-0.0945488813967231,0.0944312510422948,0.220598014032024,-0.197421553025626,0.0905408041617921,-0.0922231824337287
"Rpl7","blue","blue",0.0715800748959482,0.0372295851162151,0.270568963524816,0.0280408808065284,-0.0966459289531769,-0.0971522207214723,-0.00298750242825357,-0.0350137978738759,0.0562964023248844,0.00627803325357604
"Rdh10","grey","grey",0.0047841222284588,0.014135913731455,-0.0536100344663135,0.0564312985630996,0.0242104188072702,0.0243087790159219,0.017981073014022,0.0215975871883714,0.0330128226604573,-0.00552201400715488
"Gm28095","grey","grey",0.00607977635610402,0.0501784600171652,-0.0464745984984376,0.0128739435564536,0.0512947741327459,0.0186964687862145,-0.0340868648453277,0.0670958375888344,-0.000505888635248929,0.0303426425091634
"Stau2","green","green",0.154264592494884,0.184781597941628,-0.0531049906638989,0.326270490156186,-0.14405545276999,0.00682401072297498,0.117560162914819,0.0149502070462411,0.324090837834173,0.064867463137378
"Gm7568","grey","grey",0.035568060991159,0.0441853161885325,-0.00719024172646841,0.0728409659333997,-0.0240860270518868,-0.0083490166752148,0.00955897770077739,0.00558400744767733,0.0564327371246116,0.0331652810454627
"Ube2w","grey","grey",0.0624911301723191,0.040004990997971,-0.0106571886824771,0.186527628976388,-0.0336947809914214,0.0586609804173743,0.0856715833810699,-0.0156902503873991,0.137283886362676,0.0223241593396339
"Eloc","blue","blue",-0.0240202924678584,0.0203399917936711,0.0983388001973155,0.0414608890364766,-0.0120858303580308,-0.0164564616701207,0.00700344316679248,-0.00573915527972656,0.0244142413606463,-0.0444904130149104
