"gene_name","module","color","kME_pink","kME_grey","kME_black","kME_magenta","kME_turquoise","kME_green","kME_blue","kME_brown","kME_yellow","kME_purple","kME_salmon","kME_red","kME_greenyellow","kME_tan"
"Sgk3","grey","grey",-0.0343071668508002,0.0613056710985183,0.0905531116038367,0.0604005095107248,0.0919678438867149,0.0339212949151282,-0.0425998335066235,-0.0111142611133545,-0.0427259344500156,0.018216913639688,0.00223431655108056,-0.016682242897531,0.0518608070100657,-0.0110617171323526
"Mcmdc2","grey","grey",0.0523168075205758,0.06444954044927,-0.013853964309195,0.00684945316933758,-0.0664447553618645,-0.00658814041474382,0.0921749837926036,-0.0470839857630532,0.0235965284637097,0.0471131102078029,-0.0116092381461912,-0.0124910177649412,-0.0174186782350994,0.00394566032633362
"Snhg6","grey","grey",-0.000559925370566341,-0.0306894724075681,-0.00342749908281879,-0.00108336723229121,-0.0239912098676643,-0.0158591123866902,0.0068329497573986,0.0417970121778037,0.0310376853146272,0.00856249926938489,-0.0127115155983473,-0.0270531747638415,-0.021875493491624,-0.0173163077045642
"Gm15818","grey","grey",0.0124871675982854,-0.0336557820934486,0.00963555781598911,0.051632460016487,0.058852699229119,0.065267501013364,-0.064554503794642,0.0783811638590568,0.0267197191303149,-0.0170324181350025,-0.048580898203615,-0.0405893894884522,-0.00174849418095435,0.00757180433521177
"Cops5","grey","grey",0.0277784748976155,0.0268602163580245,0.0136785999339746,0.0366626997335744,0.0298300008972972,0.0346190926543603,-0.0107446346985517,0.0583016749346994,0.0215192929285218,0.00516310577055861,-0.0573852655020623,-0.0165943376478488,-0.00902356810347899,0.0371949495839345
"Cspp1","grey","grey",0.0866927653031774,0.143693592739849,0.11095811482577,0.148942764491805,-0.0411460176075853,0.0624997040798707,0.108755894558295,-0.0822342087888781,-0.016070615486276,0.146217796213091,-0.0487532331854063,-0.0887873450176556,0.0369625994277926,-0.0145845523936301
"Arfgef1","grey","grey",0.094889367220545,0.144691931432129,-0.0162786507816172,0.0303844025699167,0.022664816701417,0.0596189767457261,0.0594096882482952,-0.0354945119638298,-0.0103646285187453,-7.39108305064685e-05,-0.0193583317918564,-0.012352582257603,-0.0350453172272195,0.0867629077787485
"Cpa6","grey","grey",0.0100199627758368,0.0167896300179268,-0.00336689073448892,-0.007377634442326,-0.0679215886770705,-0.0410321414291279,0.0952686813499597,-0.0116480576346456,0.018662236398261,0.0560504859366691,-0.0308002712616446,-0.0298922077965342,-0.0393507558456912,-0.0511352806845545
"Prex2","grey","grey",0.0483356586917667,0.0133792642396233,0.00785184538758582,0.0148457189876044,-0.114837260919575,0.0264154642415805,0.0911852825165383,0.0292316076958234,0.0840703009265196,0.0744848143324165,-0.0122465373708448,-0.0051212495717802,0.0163729859388839,-0.0344551623730246
"A830018L16Rik","grey","grey",-0.0188064367013084,0.0682004489705251,0.307643944360635,0.281911905712909,0.0486308071756475,0.143246971537557,-0.0780221210481116,-0.0432946212846186,-0.0802222585219038,0.217104354836078,-0.075573302164207,-0.108487829249079,0.143876267199242,-0.0328467127149901
