"gene_name","module","color","kME_brown","kME_grey","kME_turquoise","kME_black","kME_magenta","kME_green","kME_cyan","kME_blue","kME_pink","kME_purple","kME_greenyellow","kME_yellow","kME_tan","kME_salmon","kME_red","kME_midnightblue"
"St18","green","green",0.033735342869351,0.00366955283535222,0.0571309682828945,0.0429331897798252,0.0246706118199031,0.0838177824811599,-0.0263263167273667,-0.0396403014226605,-0.00696368633098184,0.00765212810914798,0.0209713012153283,0.00504763172951864,-0.0175823342307469,-0.0327285800117916,0.0305082854515507,-0.0425934275622518
"Pcmtd1","black","black",0.147699854945445,0.165664723670455,0.00254384721033711,0.224332996551641,0.109544411459311,0.17570742461593,0.0295159604063634,0.0558907565168388,-0.0136711059485011,0.164154905667043,0.105796298468116,-0.152994828339519,0.149734984998054,0.104399135507796,-0.0115430589303932,-0.107788037270695
"Gm26901","grey","grey",0.0281284185183351,0.14411648506486,-0.0417770144678663,0.042539350373167,0.127052784588887,0.155758360306881,0.160905083235294,-0.0755329482530905,-0.102937163854917,-0.0027552951689982,0.215011158204505,-0.0272577029848887,0.0704757514052512,0.0348585914432824,0.137624969287197,-0.00899008129258821
"Sntg1","black","black",0.360731925721169,0.291527445650054,-0.0613462327463424,0.390202881070278,0.0337666960018247,0.33167420987427,-0.0595584827037689,0.125235366779743,-0.0193735666899001,0.274892016687822,0.117255362368485,-0.121063407881126,0.0943816961785772,0.0501999820948275,0.0455102169720215,-0.191735988333223
"Rrs1","cyan","cyan",-0.0456956183672536,0.050560151337596,0.0206534959257297,-0.017698404801069,0.0228080904798311,-0.0171540899462946,0.0812758464696249,-0.00908192800125112,-0.0128840164651154,-0.00636981329932498,0.0234444699095055,-0.00778204163623158,0.0168694388210149,0.0459494104090218,0.0308946082853447,0.0573791734022534
"Adhfe1","grey","grey",0.0126964087179769,0.025102375093086,-0.00960243886356003,0.000655728762744693,-0.0131608968108933,0.0017014037868392,0.0168673550598057,0.0219037117604795,0.00731677879256773,0.00174863796484196,-0.0080477639414452,0.0252969127818339,-0.0196595405556585,0.00941059544838672,0.0236257711242227,0.0313596134665979
"3110035E14Rik","blue","blue",0.0357621546683571,0.0340101541629416,0.0468001180028979,0.0413697454817896,-0.0322726928296552,-0.0271174643332174,-0.0406111226441996,0.0998724948822484,0.0783562732730301,0.0697463385130638,-0.0758233943052138,-0.0477434935346467,0.0169663518732657,0.0240235335628775,-0.059703358844091,0.0506848565860366
"Mybl1","grey","grey",0.011921950697174,0.0404914314458396,-0.00447777841401902,-0.0255999274588711,-0.0289251716817719,-0.00934328693858234,0.0283307232481116,0.0664254447978631,0.0267562919434406,0.00414546431292937,-0.026158929499323,-0.00270939551082445,-0.0217598490030336,0.0163200953241399,0.00225311416768901,0.0574677273924874
"Vcpip1","grey","grey",0.0541423722709308,0.0667091241637564,-0.0169155584169688,0.067647666567538,-0.0107828958440806,0.0279121461827758,0.000663815231806108,0.0438124747209307,0.0204887711756212,0.0627512438616138,-0.00932199788868985,0.0213798236066016,0.0275994256360801,0.000211687522472927,-0.00485696031887735,-0.0385028197443939
"1700034P13Rik","grey","grey",-0.0754730542774889,0.0639181120091127,0.0255342461603553,-0.0619860854325801,-0.0143852491780745,-0.100505096036854,0.0934063628448882,0.0763163832487432,0.0297579478053079,-0.00909976293864871,-0.0606499073406549,-0.0299036329672991,-0.0123686738400415,0.0955944496196004,-0.0103214569329467,0.177659030708749
"Sgk3","grey","grey",0.0414070827303426,0.0711963761255735,-0.0202561242838841,0.0694209481141577,0.0727645949678289,0.0406569510067401,0.0132602634920317,-0.0127877726559776,-0.0225975967064053,0.0354747196882796,0.0321427086737481,-0.0323081904448802,0.0543962454090887,0.00244005290710359,0.0151677308608959,-0.0318034018768295
"Mcmdc2","black","black",0.0640396139376946,0.0256403869834393,-0.0478841094166892,0.0913181630692323,-0.0182902795594159,0.00525987778796312,-0.0378651014799499,0.0583528704406109,0.0783642209829264,0.0796647734120615,-0.0569318867729603,-0.0287967272222866,0.0434549352429659,0.00593860593409478,-0.0652523324102974,-0.0227704121061408
"Snhg6","grey","grey",-0.011320975796927,0.0392259876457221,-0.000143591797249697,0.0154897532815106,0.0144540786366683,-0.0133686273078185,0.0271595839826054,0.0221340100334611,0.00323059248272244,0.0216210021086674,0.0114253935901687,0.0105607349608328,0.0175630791039859,0.0383778906006632,0.0156749658933786,0.0227807554494838
"Gm15818","turquoise","turquoise",-0.00753817146084887,0.0261801143497013,0.0770311957047404,0.00955413082179493,0.0496943287088497,0.0478219661307838,0.0718746176657806,-0.0473863425631275,0.0172413111674355,-0.0129583346511424,0.0675189854152964,-0.0388783396522936,0.0114837123340872,0.0098146838770192,0.0607629858163701,-0.00609090346740429
"Cops5","pink","pink",0.0452382250849343,0.0364720851998943,0.0369712810246748,0.0342424964303016,-0.00198990009943491,0.00490375351450481,0.00910020921919536,0.0571246815017755,0.0407531615925132,0.0359057422156169,-0.0243936225447213,-0.0405264181707357,0.0186882451994825,0.024288723035499,-0.0382561107135527,0.0380486719153565
"Cspp1","purple","purple",0.1062098093467,0.167514273229689,-0.064468507450776,0.160829783850288,0.0818461950703509,0.0435224117650403,-0.00749551151274777,0.156291197678595,-0.00936945419606989,0.217828083056224,-0.050849337956246,-0.129041466429689,0.136862970303254,0.136302962786756,-0.122011130184411,0.0115873966190421
"Arfgef1","grey","grey",0.0603983161330786,0.0944645134086368,-0.0492279824972311,0.0259016468165506,0.00677025377202356,0.00980412381521941,0.0271047653028423,0.0795945598492259,-0.0178231797221202,0.0715695457360758,-0.00138690073205201,0.00717545515154579,0.0239169816696921,0.0538806734097386,-0.000983424949986389,0.0425218269090334
"Cpa6","blue","blue",0.0867783501857593,0.0652419245281896,-0.0481603235125131,0.0854926950632032,-0.0569870089529552,-0.0601558198802496,-0.0818709847937037,0.204120403221723,0.0514109160389635,0.15347417494629,-0.113597147212296,-0.0318368724077984,0.0664825678054524,0.0602382349388385,-0.112285810642795,-0.00637770128091508
"Prex2","grey","grey",0.0646774018908714,0.0544861832395681,-0.00239884187914146,0.0867917101754972,-0.0094129249331458,0.021741394939059,-0.0597745767511493,0.0385873226882589,0.0350172272789343,0.0917181991191178,-0.0705398541746436,-0.0122505403154103,0.0215601081715894,0.0111418015194791,-0.0585084312551295,0.0177403567045416
