"gene_name","module","color","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_green","kME_black","kME_yellow","kME_red"
"AI597479","grey","grey",-0.00779981640708386,0.0272159424935807,-0.000277877545630338,0.0295917721472163,0.0118006455492393,0.00660446027827562,-0.00407759505312847,-0.000440947015296695
"Fhl2","blue","blue",0.087692039971246,0.0418152523481872,0.0246295151400424,-0.0883837326082221,0.0210536528812098,-0.0238180005052623,0.0520646344099065,-0.00808535447578361
"Nck2","green","green",-0.0140353563554069,-0.01762506464875,-0.0228915627192328,-0.00644872334951585,0.28307873456091,-0.0442132552470979,0.108657004522177,-0.169834408182526
"Uxs1","blue","blue",0.115304667159631,0.115534860303122,-0.0281830956400491,-0.04440916123626,0.00560332143591596,-0.0103869485292831,-0.0115971796703488,0.0529994496713883
"Tpp2","turquoise","turquoise",0.0729104769214452,0.135265618828613,-0.0143609109524896,0.0306663602594209,-0.0427456269986663,-0.0395365669697846,-0.0656874003506957,0.023471558454723
"Tex30","grey","grey",0.0244008709305038,0.0314488041564345,0.0143960857200804,-0.0101356900598249,-4.57654268538757e-05,0.0139555176124902,-0.00648977276167297,0.0148583887136049
"Kdelc1","grey","grey",0.062106507808556,0.0768238595028501,-0.00664405121488943,-0.0203200268443983,0.0086592275728645,-0.0136868669508738,-0.0121095134783391,0.0182120515009403
"Bivm","grey","grey",0.0470795455296173,0.0642404995049455,0.00767508487514984,0.00240468672050894,0.00739976050733756,0.0205791285757356,-0.0548632076919469,0.0425507829948865
"Ercc5","turquoise","turquoise",0.0251011626431566,0.049256480700507,-0.034212760439196,0.0223001484177321,0.0130099694075664,0.00678101131193565,-0.0379930630511595,0.00704423960739688
"Gulp1","grey","grey",-0.0387449256228076,-0.0555485064001996,0.00837560976452561,0.0244409192858417,0.171607416720302,0.0199334078618109,-0.0427354130738791,0.0145476600965153
"Wdr75","turquoise","turquoise",0.0341042087440512,0.0817155530826531,0.00177654315393102,0.0266883446501956,0.0115026097753851,-0.00743533054566243,-0.0392787343309545,0.0148597846882808
"Dnah7b","red","red",0.0886339185739858,0.0404043779215614,-0.0352374989522438,-0.0387336390617976,0.0387962899486202,-0.0139801905783302,-0.0763542039552681,0.301129884603489
"Dnah7c","grey","grey",0.0503878438280134,0.0800955976107944,-0.0290045092549212,0.0154497517257982,0.00915728096450987,-0.000101131675873358,-0.053781548908901,0.110230199292322
"Slc39a10","grey","grey",0.0188176792276326,0.00827300492041823,0.0210434020433918,-0.00375916581252321,0.0626332477686623,0.0300622275650857,-0.023042086160434,0.0742310018121453
"Tmeff2","red","red",0.1640642201221,0.00325353297668907,-0.00113212417821573,-0.135607077389934,0.373482203429504,0.0295801568470082,-0.118033906446931,0.3554475866039
"9330175M20Rik","green","green",0.0635695737254701,0.0230388385920158,0.000600267407011705,-0.0444369735043953,0.156501776548464,0.0168576637895339,-0.0298825696965521,0.0825140230809212
"Nabp1","grey","grey",0.00485554315677511,0.020262077727214,0.011411047695713,0.0134798414716905,0.0298925652460433,0.013971192557828,-0.0100396238566332,0.0727916968271559
"Gm28055","blue","blue",0.0798107417581094,0.0509829921496631,-0.00581012337105869,-0.0597561215089351,0.0416406709609121,0.0238027129343025,-0.00294969348009894,0.00421543263823134
"Myo1b","grey","grey",-0.0230459960580062,0.0203632550124527,0.00334391945841557,0.0493388434793912,0.0327328483723789,0.000445927063520805,-0.0204092763951125,0.0137860864752656
"Stat1","grey","grey",0.0554052085777315,0.0504398012137435,-0.0214164990619018,-0.0147995031728966,0.0712511950849832,0.0102941580277842,-0.0275977031699483,0.0288957747362248
"Gls","turquoise","turquoise",0.0660927448381893,0.210205768901331,-0.0417136166685991,0.132420603689839,0.0449286663252034,-0.03642311733767,-0.164107069824973,0.0251477039834464
"Nab1","blue","blue",0.0901809985644693,0.0954484329041881,-0.016077323249333,-0.0209619310639604,-0.0340303579160464,-0.0552316136238231,-0.0339266908962596,0.0373845046406802
"Nemp2","grey","grey",0.0159791208896386,0.0233594811900336,-0.0183840930902119,0.000500883766356823,0.0209003468053922,-0.000201836411379411,0.00125529510069429,-0.000320133217891652
"Mfsd6","blue","blue",0.25385051176773,0.124180305460951,-0.0199748882159096,-0.20796349609791,0.121612625188799,-0.0215821694233471,0.0309311222123932,0.00868007172381784
"Inpp1","turquoise","turquoise",-0.0436707506665226,0.00546791427227596,-0.0177507397533686,0.0417320179108436,0.00595989308281108,-0.0130619560246402,0.0985344975295099,-0.0406890559133274
