gene_name,kME,rank,in_kegg_dopaminergic_synapse
3110021N24Rik,0.161771,701,0
Sri,0.161534,702,0
Sms,0.161493,703,0
Tanc1,0.161036,704,0
Pik3c2g,0.160938,705,0
Adamts20,0.160790,706,0
Kras,0.160255,707,0
Fam110b,0.160252,708,0
Chmp4b,0.160165,709,0
Ndufaf5,0.159609,710,0
Afap1l1,0.159454,711,0
Prkdc,0.159435,712,0
Gm10373,0.159112,713,0
Zp3r,0.158978,714,0
Gm16226,0.158635,715,0
Vmn2r87,0.158160,716,0
Dse,0.157930,717,0
D730003I15Rik,0.157819,718,0
Pitrm1,0.157171,719,0
Fads1,0.156887,720,0
Edem3,0.156834,721,0
Hace1,0.156761,722,0
Shd,0.156496,723,0
Gm26797,0.156438,724,0
Gm38825,0.156007,725,0
Nhsl1,0.155967,726,0
4930592A05Rik,0.155813,727,0
Gm16564,0.155620,728,0
Ezh1,0.155604,729,0
Narf,0.155380,730,0
BC030500,0.155236,731,0
Mvd,0.154466,732,0
Kctd6,0.154441,733,0
Gm11713,0.153513,734,0
Gm15893,0.153367,735,0
5033430I15Rik,0.153195,736,0
Myl6,0.152467,737,0
4933412O06Rik,0.151881,738,0
Atpaf1,0.151654,739,0
Cdk19,0.151555,740,0
Hnmt,0.151205,741,0
Sat2,0.151054,742,0
Ccdc88c,0.150088,743,0
Zfp692,0.149915,744,0
Btbd3,0.149234,745,0
Klc1,0.149194,746,0
Gm42303,0.148980,747,0
Trim3,0.148763,748,0
Gm2117,0.148304,749,0
Mat2b,0.148025,750,0
Lrrtm2,0.147660,751,0
Hebp2,0.147369,752,0
Kcnd3os,0.146483,753,0
1700108J01Rik,0.146125,754,0
Gstt2,0.145805,755,0
4930533B01Rik,0.145497,756,0
Gm48239,0.145400,757,0
Cyp2j6,0.144755,758,0
Ctxn2,0.144532,759,0
Magee1,0.144510,760,0
Rttn,0.144300,761,0
Gm11884,0.144116,762,0
Lrrc75b,0.143956,763,0
Rab13,0.143799,764,0
9130015G15Rik,0.143009,765,0
Gm26994,0.142321,766,0
Appl2,0.142249,767,0
Tmem47,0.141562,768,0
Hic2,0.141559,769,0
Gm10827,0.141532,770,0
Gm2415,0.140663,771,0
Atp8b4,0.140553,772,0
Gm4793,0.140440,773,0
Gm13710,0.139492,774,0
Josd2,0.139342,775,0
Rab11fip1,0.139290,776,0
Chst3,0.138611,777,0
Glod5,0.138365,778,0
Cdc42bpb,0.137999,779,0
Slc25a37,0.137373,780,0
Cdk5r1,0.137279,781,0
Ankrd9,0.135982,782,0
Pebp4,0.135943,783,0
Elf2,0.135410,784,0
Mapk12,0.135193,785,1
Atad2,0.135183,786,0
9430038I01Rik,0.135143,787,0
1700026F02Rik,0.134594,788,0
Gm15396,0.134572,789,0
Gm15631,0.134482,790,0
Fam241a,0.133764,791,0
Gm15675,0.133057,792,0
Cldn1,0.132502,793,0
Crot,0.131915,794,0
Gm11639,0.131429,795,0
Gm26811,0.131320,796,0
A830092H15Rik,0.130852,797,0
Gm49191,0.130789,798,0
Arhgef37,0.130775,799,0
Fkbp1b,0.130531,800,0
Klhl33,0.130119,801,0
Dmac2,0.129498,802,0
Ankrd13b,0.129479,803,0
C230037L18Rik,0.129115,804,0
Kifc1,0.128761,805,0
Psat1,0.128517,806,0
Pcmtd2,0.128396,807,0
Frmd8,0.128062,808,0
Mms22l,0.127993,809,0
4930483K19Rik,0.127897,810,0
Gm14412,0.127326,811,0
Gm48956,0.124831,812,0
Jade2,0.124518,813,0
Stard5,0.123621,814,0
Gm15319,0.123417,815,0
Mettl27,0.122922,816,0
Fyb2,0.121477,817,0
B430010I23Rik,0.121304,818,0
Cnn3,0.120346,819,0
Foxa1,0.119709,820,0
Stx4a,0.118298,821,0
Gpr39,0.117939,822,0
Acox2,0.117879,823,0
Prr5,0.117696,824,0
Creg2,0.117693,825,0
Slc6a20a,0.117499,826,0
Rasd2,0.117346,827,0
Rexo2,0.116679,828,0
Gm17234,0.116464,829,0
Adgra2,0.116263,830,0
Gm47782,0.116235,831,0
Gm10634,0.115935,832,0
Catsper3,0.115882,833,0
Hmcn1,0.114421,834,0
Gm26859,0.113332,835,0
Ezh2,0.113070,836,0
Mab21l3,0.112878,837,0
Runx2os1,0.112702,838,0
Gm47872,0.112503,839,0
Selenov,0.111756,840,0
Pnpo,0.110621,841,0
Slc6a20b,0.110041,842,0
4930563F08Rik,0.109308,843,0
Rnd1,0.108299,844,0
Irf3,0.107868,845,0
Fgf2,0.107276,846,0
Kank1,0.106331,847,0
Olfr1307,0.104797,848,0
Gm47849,0.103179,849,0
Sycp1,0.102496,850,0
4632428C04Rik,0.101751,851,0
4930505A04Rik,0.101338,852,0
Kif22,0.098676,853,0
2310001H17Rik,0.095024,854,0
Anxa10,0.090817,855,0
