"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_brown"
"AP2B1","blue","blue",-0.0870533047449276,0.280903145514305,0.173620600441846,0.0626073485508066
"TAF15","turquoise","turquoise",0.264083428105415,-0.0938777973533751,0.169824727458241,0.0456849928094291
"ZNHIT3","grey","grey",-0.0470560661849709,0.124468427045422,0.0795806184650701,0.05067974349795
"GGNBP2","brown","brown",0.0345368476904076,0.0788335473120555,0.146047947858348,0.185309280694494
"DHRS11","grey","grey",-0.0283305357538413,0.102153731054679,0.0871034158659724,0.0695988574640008
"AATF","grey","grey",0.0694806460256423,0.00537264866873083,0.0804044797408278,0.0376798619982068
"ACACA","turquoise","turquoise",0.357181149161997,-0.145290214937636,0.214452638354011,0.118924028716716
"TADA2A","grey","grey",0.0949557325568265,0.00230673438121365,0.110183493347116,0.0558106559288692
"DUSP14","grey","grey",-0.009371828335907,0.0610584441568815,0.059676484927641,0.0279847964751865
"SYNRG","blue","blue",-0.0484289220387782,0.208484575441913,0.178102656230051,0.115945448529952
"DDX52","blue","blue",-0.0346844439315427,0.149736517936087,0.130065081602073,0.0859547369108462
"MRPL45","grey","grey",0.0417288307612421,0.0419400512462166,0.0989132539038862,0.0626536793913118
"SOCS7","turquoise","turquoise",0.154899469165488,-0.0643833659773613,0.11505190739857,0.0999312620062933
"ARHGAP23","turquoise","turquoise",0.106777182366577,-0.0425571708027154,0.0775563242533072,0.0729403408390699
"SRCIN1","grey","grey",0.106487068741797,0.0237139801409039,0.168979789001636,0.132222098199934
"CISD3","blue","blue",-0.0681167329606722,0.133759916772719,0.0606757380972114,0.0762021555552342
"PSMB3","blue","blue",-0.112729478867408,0.218588228523003,0.0995054842559955,0.0591094788597286
"PIP4K2B","blue","blue",-0.0646902491161958,0.150992573038693,0.125841505695593,0.150995295714654
"CWC25","grey","grey",0.0508615778535845,0.00781415542773767,0.0778660865047287,0.0589912093676556
"RPL23","blue","blue",-0.0727045624561031,0.134175127661313,0.0546710890744465,0.0357368599948834
"LASP1","blue","blue",-0.0923879706614704,0.213769634060675,0.156212768315157,0.139748757068308
"LINC00672","blue","blue",-0.0498089751695701,0.151013619583045,0.105433320144867,0.109071602610044
"CACNB1","blue","blue",-0.0715732377940162,0.139061952431483,0.0851415496944134,0.0577115237676519
"RPL19","blue","blue",-0.119695255722159,0.179114487825182,0.0474826821703901,0.0371453221766829
"FBXL20","turquoise","turquoise",0.314046198065024,-0.162026352134465,0.170199324913519,0.135460200743802
"MED1","grey","grey",0.0458564870840471,0.0100877187183234,0.0797557194863462,0.0812338443313234
"CDK12","turquoise","turquoise",0.191571217649511,-0.0577543859953368,0.146828617561876,0.0873108860290634
"STARD3","grey","grey",0.0534539110130097,-0.0215394007297524,0.0451804040219597,0.0212522767241874
"MIEN1","blue","blue",-0.0770732147575161,0.146210136717772,0.0618245974492067,0.033673380414111
"ORMDL3","grey","grey",-0.052585851565176,0.106607842765641,0.0688028447669137,0.0648680426958359
"PSMD3","blue","blue",-0.17506213324602,0.307383741277028,0.133535830632066,0.0478009819185602
"MED24","blue","blue",-0.0743005614903996,0.187832676810314,0.117424597402666,0.069245081024603
"THRA","blue","blue",-0.0471335849726725,0.12895702005707,0.103975107971368,0.115921071110905
"MSL1","grey","grey",-0.00261719793595201,0.0924524861512777,0.114919967736485,0.109627370294468
"CASC3","blue","blue",-0.00243889490736276,0.106097085725676,0.113922481899884,0.0765645843949899
"RAPGEFL1","turquoise","turquoise",0.224985282658121,-0.136936865035852,0.106029252355436,0.0633909170461278
"WIPF2","grey","grey",0.121738047317772,0.00619275834584661,0.16052443881528,0.13903560379404
"IGFBP4","grey","grey",-0.0836948648963376,0.109992130865569,0.041778737868436,0.038227772660362
"KRT10","blue","blue",-0.0588134845242208,0.119377879759706,0.0623775391687858,0.0669277955396988
