"gene_name","module","color","kME_yellow","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_red","kME_green"
"Zfp945","grey","grey",0.0289979054700447,0.0153353714951796,0.0645531610511988,-0.0229877261230598,0.0160352246865416,0.0298169510717929,-0.00272631480544068
"Zfp40","grey","grey",0.069617324111162,0.0890415979610682,0.116616442191784,-0.0181797606727846,-0.0336910459149734,0.0795734854479794,0.00668331123084473
"Zfp213","grey","grey",0.00910626521551581,0.0116558635185802,0.0216656137134053,0.0407429695449769,-0.00193988066011065,0.0219922056178976,-0.0232421775717983
"Zfp13","grey","grey",0.0078133215309388,0.0180698394694453,0.0242089438577855,-0.00171791017661102,-0.00760335465185269,0.0250572863834568,-0.018672377536052
"Thoc6","grey","grey",-0.0138248958192596,0.00560803671574316,-0.00758829956765742,0.0508220143495399,-0.025566360867605,-0.0347072886934156,0.0103114431961568
"Hcfc1r1","brown","brown",-0.0690769488931475,0.0446239049257143,0.00791554257395498,0.32460390261288,-0.0757006396667341,-0.0200626774101555,-0.00131467967619146
"9530082P21Rik","grey","grey",-0.000984943279213894,0.0199948026976829,0.0337773873706639,0.0278589057178721,-0.0044117496849667,0.0236512034233326,-0.00129993382876941
"Flywch1","grey","grey",0.00109916706676189,0.0484937338833985,0.0788809626902773,0.112607740523441,-0.0219343400660954,0.0639366597357976,-0.0302395278577911
"Gm49163","grey","grey",-0.00651673949233922,0.0280859022203553,0.0142205442029867,-0.01253650456554,-0.0241262485535839,0.0214937909430754,-0.00197271448240574
"Flywch2","brown","brown",-0.0012305349873773,0.0135310496221364,0.0177122145812724,0.0620389545926718,-0.0144964491093992,0.00476966366503371,-0.00058080443653753
"Srrm2","yellow","yellow",0.163528386162129,-0.00136495317056753,-0.0832556395132004,-0.0182839340397882,-0.0561102212214294,-0.0433672762108729,0.0108105750665081
"Elob","brown","brown",-0.0162213842223095,-0.0227753856896912,-0.0360775570451514,0.303744069337298,-0.0236287433324534,-0.0446769242200278,-0.014627836178074
"Kctd5","turquoise","turquoise",-0.0224866131203048,0.00829978761807935,0.0587283048215992,-0.00429751662698599,0.0268765845544578,0.0168561817789086,0.0189164117078975
